GA;GB;G1;G2;G3;G4;G5
1;ЗАО ПФ СКБ Контур;620017, г. Екатеринбург, пр. Космонавтов д.56;6663003127;1;https://kontur.ru/;a
2;АНО БЕЛИНФОНАЛОГ;115093, г.Москва, Подольское шоссе, д.8, корп.5, офис 444;3123101188;2;http://www.belinfonalog.ru/;
3;ОАО ИнфоТеКС Интернет Траст;127287, г. Москва, Старый Петровско-Разумовский проезд, д.1/23, стр.1;7743020560;3;http://iitrust.ru/;
4;ООО ИнфоЦентр;600005, г. Владимир, Октябрьский проспект, д.36;3328430017;4;http://www.icentr.ru/;
5;"ООО ""ЭЛБИС""";650000, г. Кемерово, пр. Советский, 27, оф. 424, 425;4205011410;5;http://www.e-tax.ru/;
6;ООО Компания Тензор;150000, г. Ярославль, Московский проспект, д. 12;7605016030;6;http://tensor.ru/;a
7;ООО КОРУС Консалтинг СНГ;194100, Санкт-Петербург, Большой Сампсоновский проспект, дом 68, литер «Н»;7801392271;7;www.esphere.ru;
8;ООО Такском;119034, Москва, Барыковский пер., д. 4, стр. 2;7704211201;8;http://taxcom.ru/;a
9;ООО АРГОС;196191,г. Санкт-Петербург, Ленинский пр., д.168;7810225534;9;http://www.argos-nalog.ru/;
10;ООО Русь-Телеком;214025, Смоленская область, г. Смоленск, ул. Вяземская, д. 42;6731071801;10;http://www.rus-telecom.ru/;
11;ООО Сибтел-Крипто;"620017, Тюмень, Ул. Широтная, 29,корп. 2/2
";7203158243;11;http://www.s-crypto.ru/;
12;ЗАО Калуга Астрал;248023 г.Калуга, пер.Теренинский, д.6;4029017981;12;http://astralnalog.ru/;
13;ООО РПЦ Партнер;410005 г.Саратов, ул. Большая Садовая, д. 239, к. 42 оф. 422;6454066437;13;http://parc.ru/;
14;ООО НПП Ижинформпроект;426057, г. Ижевск, ул. Бородина, 21, оф. 207;1831014533;14;http://www.infotrust.ru/;
15;ОАО СКБ-банк;620026, г. Екатеринбург, ул. Куйбышева, д. 75;6608003052;15;http://www.skbbank.ru/;
16;ЗАО РЦ Практик;127051, г. Москва, ул. Неглинная, д.17;7714143134;16;http://www.a-practic.ru/;
17;ООО ДСЦБИ Маском;680038, Хабаровский край, г. Хабаровск, ул. Яшина, 40;2721110853;17;http://mascom-dv.ru/;
18;АО ГНИВЦ;127381, г.Москва, Ул. Неглинная, 23;7707083861;18;http://www.gnivc.ru/;
19;УФМФ ФГУП ЦентрИнформ;191123, г. Санкт-Петербург, ул. Шпалерная, д. 26;7841016636;19;http://center-inform.ru;
20;ООО РСЦ Инфо-Бухгалтер;360016, КБР, г. Нальчик, ул. Т. Идарова, дом 198;0721009708;20;http://www.rsc-infobuh.ru/;
21;ООО Комплексные Услуги Безопасности;634021 г.Томск, пр.Фрунзе, 117а, офис 501;7017154234;21;http://cakub.ru/;a
22;ЗАО Сервер-Центр;690650, г. Владивосток э ул. Нерчинская 10, оф.315;2539038819;22;http://www.serverc.ru/;
23;ЗАО ЦЭК;"603000, Н. Новгород,Ул. Новая, 15
";5260013152;23;http://www.nalog.cek.ru/;
24;ООО Электронный Экспресс;119991, Москва, ул. Ленинские горы, дом 1.стр.77;7729633131;24;http://www.garantexpress.ru/;
25;ООО Эдисофт;199178, г. Санкт-Петербург, наб. Реки Смоленки, д. 14, литер А;7801471082;25;http://ediweb.ru/;
26;ООО ИКЦ ЭТАЛОН;429000, Чувашская Республика, г. Чебоксары, Московский пр., д. 17, стр. 1;2130029371;26;http://www.etalon-ikc.ru/;
